Desc,Mile,Elev,Rescaled,Highlight
Pine Mountain,496.3,5442,498.4,
Grayson Highlands State Park,498.2,4891,500.3,
Massie Gap,498.4,4858,500.5,
Quebec Branch,499.5,4609,501.6,
Wise Shelter,500.3,4409,502.4,
Big Wilson Creek,500.4,4386,502.5,
Wilson Creek,500.7,4347,502.8,
Little Wilson Creek Wilderness,500.8,4379,502.9,
Scales,503.3,4629,505.4,-
Grayson,504.0,4740,506.1,
Lewis Fork Wilderness,505.3,4576,507.4,
Old Orchard Shelter,506.3,4071,508.4,
State Rte 603,508.0,3458,510.1,
Fairwood Valley,508.1,3458,510.2,
Smyth,510.0,4356,512.1,
Comers Creek,515.1,3277,517.3,
Comers Creek Rd,516.4,3284,518.6,
Raccoon Branch Wilderness,516.5,3320,518.7,
Raccoon Branch (old shelter),517.8,3681,520.0,
Trimpi Shelter,520.5,3011,522.7,-
Slabtown Hollow,521.6,2532,523.8,
Slab Town Rd,521.7,2601,523.9,
Sugar Grove  VA 24375,522.6,2440,524.8,
Pugh Mountain Rd,526.5,3238,528.7,
Georges Branch,529.0,2982,531.2,
Lake/pond/tank,530.3,3244,532.5,
Partnership,530.4,3251,532.6,
VA 16 (Mt Rogers Headquarters),530.6,3234,532.8,
Nicks Creek Rd,531.3,3267,533.5,
Appalachian Trl,531.4,3303,533.6,
Appalachian Trl,534.2,3891,536.4,
USFS 86,534.6,3595,536.8,
Glade Mountain,535.9,4084,538.1,
Vaught Branch,537.2,3362,539.4,
Chatfield Memorial,537.4,3215,539.6,
Forest Rd 86,537.7,3028,539.9,
Vaught Branch,538.3,2785,540.5,
Rocky Hollow Rd,539.2,2595,541.5,
Phillippi Branch,539.3,2562,541.6,
Co Rd 729,539.7,2522,542.0,
Middle Fork Holston River,541.1,2421,543.4,
Atkins  VA 24311,541.8,2401,544.1,
US Hwy 11,542.0,2421,544.3,
I-81,542.1,2417,544.4,
I-81,542.2,2417,544.5,
George Washington and Jefferson National Forest,542.3,2411,544.6,
Dry Run,542.6,2440,544.9,
Davis Valley Rd,543.0,2440,545.3,
Smyth,543.8,2647,546.1,-
Davis Path (old shelter),544.8,2887,547.1,
Wythe,547.2,3326,549.5,
Bland,550.6,3526,552.9,
Old Rich Valley Rd,552.1,2647,554.4,
Shady Grove Rd,553.5,2421,555.8,
Possum Creek,554.5,2493,556.8,
W Blue Grass Trl,554.6,2503,556.9,
Knot Maul,556.5,2765,558.8,
Knot Mole Branch,557.1,2608,559.4,-
Lynn Camp Creek,557.7,2368,560.0,
Lick Creek,559.9,2247,562.2,
State Rte 625,561.2,2306,563.5,
George Washington and Jefferson National Forest,562.5,3054,564.8,
Tazewell,563.7,3779,566.1,
Chestnut Ridge,563.9,3854,566.3,
Garden Mountain,565.7,4320,568.1,
Chestnut Knob Shelter,565.9,4402,568.3,
Walker Gap,567.2,3517,569.6,
Garden Mountain Wilderness,567.9,3658,570.3,
Tazewell,570.9,3937,573.3,
Bland,571.0,3950,573.4,
VA 623,572.0,3884,574.4,
Burkes Garden Rd,572.1,3884,574.5,-
Hunting Camp Creek Wilderness,572.5,4009,574.9,
Jenkins Shelter,576.6,2417,579.0,
Hunting Camp Creek,576.7,2381,579.1,
Hunting Camp Creek Wilderness,577.9,3090,580.3,
Laurel Creek,580.9,2450,583.3,
US 21 & 52,587.9,2906,590.4,
N Scenic Hwy,588.1,2919,590.6,
State Rte 612,588.2,2939,590.7,
I-77,588.4,2788,590.9,
VA 612,588.8,2598,591.3,
Helvey's Mill,590.2,3120,592.7,
State Rte 611,596.9,2814,599.4,-
Jenny Knob,600.0,2660,602.5,-
Lickskillet Hollow,601.2,2191,603.7,
Price Ridge Rd,601.3,2171,603.8,
Kimberling Creek,606.5,2017,609.0,
Bland,606.6,2066,609.1,
Giles,608.0,2234,610.5,
Lake/pond/tank,609.9,2345,612.4,
Dismal Creek,612.4,2427,615.0,
Dismal Creek,614.0,2506,616.6,
Lake/pond/tank,614.4,2562,617.0,
Dismal Creek,614.6,2588,617.2,
Wapiti,614.7,2604,617.3,
Dismal Creek,615.3,2831,617.9,
Big Horse Gap,620.2,3756,622.8,
VA 663 (Sugar Run Gap),621.9,3385,624.5,
Doc's Knob Shelter,624.1,3546,626.7,-
Appalachian Trl,624.2,3566,626.8,
Appalachian Trl,625.9,3333,628.5,
Pearis Mountain,629.9,3766,632.5,
Spring,632.3,2240,634.9,
State Rte 793,632.6,1998,635.2,
Virginia,632.9,1788,635.5,
Pearisburg  VA 24134,633.1,1620,635.7,-
Thomas Dr,633.2,1620,635.8,
Apalachian Trl,633.5,1637,636.1,
Thomas Dr,633.6,1587,636.2,
New River,633.8,1535,636.4,
Virginia Ave,634.0,1574,636.6,
Clendennin Rd,635.3,1676,638.0,
Monroe,639.2,3185,641.9,
Appalachian Trl,639.4,3211,642.1,
Rice Field,639.9,3343,642.6,
Giles,641.4,3330,644.1,
Monroe,641.5,3372,644.2,
Symms Gap,645.2,3290,647.9,-
Peters Mountain Wilderness,647.0,3389,649.7,
Dickinson Gap,647.7,3307,650.4,
George Washington and Jefferson National Forest,649.2,3874,651.9,
Giles,649.8,3723,652.5,
Peters Mountain Wilderness,649.9,3697,652.6,
Pine Swamp Branch,651.7,2959,654.4,
Pine Swamp Shelter,652.3,2519,655.0,
VA 635,652.6,2365,655.3,
Stony Creek,652.9,2358,655.6,
Dismal Branch,653.7,2440,656.4,
Big Stony Creek Rd,654.8,2463,657.5,
Bailey Gap,656.4,3510,659.1,-
VA 613,660.1,3969,662.9,
Mountain Lake Wilderness,660.2,4032,663.0,
Wind Rock,660.5,4048,663.3,
Lone Pine Peak,662.8,4032,665.6,
Negro Branch,663.6,3375,666.4,
Giles,663.8,3251,666.6,
War Spur,665.3,2372,668.1,
War Spur Branch,665.4,2342,668.2,
State Rte 632,666.2,2083,669.0,
Johns Creek,666.3,2060,669.1,
Craig,667.7,2788,670.5,
Rocky Gap,668.5,3270,671.3,
Kelly Knob,670.4,3736,673.2,
George Washington and Jefferson National Forest,671.6,2883,674.4,
Laurel Creek,671.8,2788,674.6,
Laurel Creek,671.9,2762,674.7,
Piney Ridge,672.2,2719,675.0,
Lake/pond/tank,673.5,2267,676.3,
Cumberland Gap Rd,674.4,2112,677.2,
Northside Rd,675.2,2148,678.0,
VA 630,675.3,2162,678.1,
Montgomery,676.8,3221,679.6,
Bruisers Knob,678.2,3428,681.0,
Sarver Hollow,678.5,3359,681.3,-
Craig,678.9,3418,681.7,
Montgomery,679.0,3408,681.8,
Niday,684.2,1991,687.1,
Lee Hollow,685.7,1597,688.6,
Craig Creek Rd,685.8,1538,688.7,
Brush Mountain East Wilderness,686.0,1512,688.9,
Brush Mountain East Wilderness,686.5,1660,689.4,
Roanoke,689.3,3087,692.2,
Brush Mountain,689.4,3087,692.3,
2011 PICKLE BRANCH Fire,691.5,2736,694.4,
VA 620,693.6,1545,696.5,
Trout Creek,693.7,1519,696.6,
Pickle Branch,694.9,1938,697.8,-
Craig,695.2,2086,698.1,
Roanoke,697.7,2526,700.6,
Cove Mountain,699.2,3001,702.1,
VA 311,701.0,2076,703.9,
State Rte 624,701.5,1804,704.4,
McAfee Run,701.6,1791,704.5,
Catawba  VA 24070,703.1,1801,706.0,
State Rte 785,703.2,1781,706.1,
Catawba Creek,703.3,1755,706.2,
Appalachian Trl,703.4,1755,706.3,
Beckner Gap,703.8,2043,706.7,
Catawba Valley Dr,707.3,1948,710.3,
John's Spring,708.4,1952,711.4,
Catawba Shelter,709.5,2198,712.5,
Appalachian Trl,710.1,2457,713.1,
Roanoke,710.9,3038,713.9,
McAfee Knob,711.1,3185,714.1,
Appalachian Trl,711.8,2683,714.8,
Campbell,711.9,2591,714.9,-
Botetourt,712.5,2358,715.5,
Tinker Mountain,716.4,2906,719.4,
Lamberts Meadow,718.0,2129,721.0,
Angell Branch,722.4,1653,725.4,
2014 Tinker Mtn 2 Fire,724.2,1886,727.2,
Tinker Creek,727.2,1154,730.2,
US 220 Commuter Parking Lot,727.4,1259,730.4,-
Cloverdale  VA 24077,727.8,1250,730.8,
State Rte 653,728.3,1325,731.3,
I-81,728.9,1351,731.9,
I-81,729.0,1358,732.0,
Buffalo Creek,729.3,1295,732.3,
Lemons Run,729.8,1400,732.8,
Mountain Pass Rd,729.9,1407,732.9,
Fullhardt Knob,733.2,2631,736.3,
Botetourt,735.2,2424,738.3,
Salt Pond Rd,736.0,2237,739.1,
Curry Creek,736.7,1597,739.8,
Wilson Creek,738.7,1555,741.8,
Wilson Creek,739.2,1840,742.3,
Blackhorse Gap,741.6,2398,744.7,
Bedford,741.7,2477,744.8,
Blue Ridge Pkwy,742.3,2372,745.4,
Blue Ridge Parkway (Montvale Overlook),743.5,2437,746.6,
Blue Ridge Pkwy,744.1,2522,747.2,
Botetourt,744.5,2457,747.6,
Bedford,745.6,2345,748.7,
Bobblets Gap,746.4,2099,749.5,-
Bobblet's Gap,746.5,2096,749.6,
Chair Rock Rd,746.6,2076,749.7,
Blue Ridge Pkwy,747.2,2322,750.3,
Blue Ridge Parkway (Sharptop & Peaks Of Otter Overlook),747.3,2326,750.4,
Blue Ridge Pkwy,747.9,2417,751.0,
Blue Ridge Parkway (Mills Gap),748.0,2424,751.1,
Bearwallow Creek,749.7,2211,752.8,
State Rte 43,749.8,2240,752.9,
Cove Mountain,750.4,2683,753.5,
Cove Mountain,752.9,1955,756.0,
Jennings Creek,756.1,944,759.3,
Bryant Ridge Shelter,760.0,1269,763.2,
Botetourt,761.2,2194,764.4,
Buzzard Ridge,761.4,2286,764.6,
Floyd Mountain,764.3,3543,767.5,
Cornelius Creek,764.9,3064,768.1,-
Cornelius Creek,765.0,3041,768.2,
Forest Rd 812,767.6,3349,770.8,
Apple Orchard Mountain,769.1,4202,772.3,
Thunder Ridge Wilderness,769.2,4183,772.4,
Botetourt,769.5,4012,772.7,
Bedford,769.9,3881,773.1,
Blue Ridge Pkwy,770.0,3877,773.2,
Thunder Hill,770.2,3914,773.4,
Thunder Hill,770.3,3982,773.5,
Rockbridge,770.8,3841,774.0,
Blue Ridge Pkwy,771.2,3569,774.4,
Thunder Ridge,772.0,3454,775.2,
Petites Gap,774.9,2372,778.1,
Highcock Knob,776.1,3054,779.3,
Rockbridge,776.3,2864,779.5,
Bedford,777.0,2440,780.2,
Marble Spring,777.2,2352,780.4,
Belfast Trl,777.6,2457,780.8,
Hickory Stand,779.0,2368,782.3,
Big Cove Branch,780.8,1922,784.1,
Matts Creek,782.7,830,786.0,-
Matts Creek,783.3,711,786.6,
James River,784.7,639,788.0,
Glasgow  VA 24555,784.7,672,788.0,
Boat Lanch,784.9,675,788.2,
State Rte 812,785.9,797,789.2,
Amherst,786.1,915,789.4,
Johns Hollow,786.4,912,789.7,
Johns Hollow Shelter,786.7,1085,790.0,
Little Rocky Row,788.5,2335,791.8,
Rockbridge,788.6,2460,791.9,
Big Rocky Row,789.7,2982,793.0,
Saddle Gap,791.1,2598,794.4,
Saltlog Gap,792.3,2644,795.6,
Little Apple Mountain,793.2,2933,796.5,
Bluff Mountain,793.7,3267,797.0,
Rockbridge,794.1,3162,797.4,
Amherst,794.2,3044,797.5,
Punchbowl Mountain,794.9,2844,798.2,
Punchbowl,795.4,2555,798.7,
Blue Ridge Parkway (Mile 51.7),795.8,2132,799.1,
State Rte 607,796.0,2106,799.3,
Panther Falls Rd,796.1,2106,799.4,
Rice Mountain,798.1,2142,801.4,
Reservoir Rd,799.9,961,803.2,
Lynchburg Reservoir,802.0,1066,805.3,
Swapping Camp Creek,802.4,1108,805.7,
USFS 38,802.9,1269,806.3,
Brown Mountain Creek,803.9,1154,807.3,-
Brown Mountain Creek,804.9,1364,808.3,
Buena Vista  VA 24416,806.6,2066,810.0,
US 60 Long Mtn Wayside,806.7,2057,810.1,
Bald Knob,809.5,4045,812.9,
Cowcamp Gap,810.5,3464,813.9,-
Cow Camp Gap,810.6,3503,814.0,
Cole Mountain,812.1,3923,815.5,
Hog Camp Gap,813.0,3497,816.4,
Tar Jacket Ridge,813.8,3792,817.2,
Wiggins Spring Rd,815.1,3234,818.5,
Salt Log Gap,815.2,3231,818.6,
Elk Pond Branch,819.9,3697,823.3,
Seeley Woodowrth Shelter,820.6,3789,824.0,
Spy Rock Rd,822.9,3454,826.3,
Maintop Mountain,823.5,3858,826.9,
State Rte 826,826.6,3316,830.1,
Priest Wilderness,827.4,3779,830.9,
The Priest,827.6,3887,831.1,-
The Priest,828.1,4005,831.6,
VA 56,832.2,980,835.7,
Crabtree Falls Hwy,832.3,967,835.8,
Three Ridges Wilderness,832.4,931,835.9,
Harpers Creek,835.1,1833,838.6,
Three Ridges Wilderness,835.4,1988,838.9,
Chimney Rock,837.0,3188,840.5,
Appalachian Trl,838.2,3868,841.7,
Three Ridges,838.4,3953,841.9,
Bee Mountain,840.6,2982,844.1,
Maupin Field Shelter,841.1,2749,844.6,-
Augusta,841.8,3074,845.3,
Beech Grove Rd,842.8,2637,846.3,
Nelson,843.1,2719,846.6,
Blue Ridge Pkwy,843.4,2687,846.9,
Dripping Rock,847.7,2952,851.2,
Dripping Rock,847.9,2949,851.4,
Laurel Springs Gap,848.1,2893,851.6,
Blue Ridge Parkway (Humpback Picnic Parking),848.9,3205,852.4,
Humpback Mountain,850.5,3562,854.1,
Nelson,851.1,3425,854.7,
Augusta,851.2,3418,854.8,
Blue Ridge Parkway (Humpback Gap),854.5,2230,858.1,
Paul C. Wolfe Shelter,857.0,1574,860.6,
Nelson,858.9,1994,862.5,
Augusta,861.9,1889,865.5,
Waynesboro  VA 22980,862.0,1870,865.6,-
I-64,862.1,1899,865.7,
Albemarle,865.4,2608,869.0,
Royal Orchard Dr,865.6,2424,869.2,
Albemarle,866.4,2844,870.0,
Augusta,866.5,2860,870.1,
Bear Den Mountian Rd,866.7,2805,870.3,
Bear Den Mountain Trl,866.8,2851,870.4,
Skyline Drive (Beagle Gap),867.5,2532,871.1,
Calf Mountain,869.1,2952,872.7,
Calf Mountain,869.6,2647,873.2,
Jarmans Gap Rd,870.6,2250,874.2,
Jarman Gap,870.7,2234,874.3,
Skyline Drive (Sawmill Run Overlook),872.5,2191,876.1,
Augusta,873.7,2578,877.3,
Albemarle,873.8,2634,877.4,
Turk Gap,874.0,2598,877.6,
Skyline Drive (Turk Gap),874.1,2588,877.7,
Skyline Drive (Wildcat Ridge),876.1,2979,879.8,
Skyline Drive (Riprap),879.1,2687,882.8,
Skyline Dr,880.3,2614,884.0,
Augusta,882.0,2358,885.7,
Rockingham,882.1,2319,885.8,
Albemarle,882.3,2372,886.0,
Skyline Dr,882.4,2375,886.1,
Blackrock Hut,882.8,2742,886.5,
Blackrock,883.4,3090,887.1,
Skyline Drive (Black Rock),883.9,2926,887.6,
Skyline Dr,884.5,2805,888.2,
Skyline Drive (Jones Run),884.6,2762,888.3,
Browns Gap,886.0,2578,889.7,
Skyline Dr,886.9,2765,890.6,
Skyline Drive (Doyles River Overlook),887.3,2834,891.0,
Skyline Drive (Doyles River Trailhead),888.1,2828,891.8,
Albemarle,891.1,3047,894.8,
Rockingham,891.4,3287,895.1,
Ivy Creek,893.0,2614,896.7,
Greene,894.0,3061,897.7,
Skyline Drive (Ivy Creek Overlook),894.5,2870,898.2,
Pinefield Hut,896.1,2486,899.8,
Skyline Dr,896.4,2542,900.1,
Pinefield Gap,896.5,2598,900.2,
Weaver Mountain,897.2,2854,900.9,
Simmons Gap Rd,898.3,2247,902.0,
Greene,898.9,2506,902.7,
Rockingham,899.1,2604,902.9,
Powell Gap,901.6,2299,905.4,
Skyline Drive (Smith Roach Gap),903.2,2611,907.0,
Smith Roach Gap,903.3,2621,907.1,
Hightop Hut,904.5,3205,908.3,
Spring,905.0,3517,908.8,
Hightop,905.3,3480,909.1,
Skyline Drive (Hightop Mountain),906.6,2627,910.4,
Greene,907.0,2709,910.8,
Rockingham,907.1,2723,910.9,
Spotswood Trl,907.8,2358,911.6,
Swift Run Gap,907.9,2358,911.7,
Spring,914.3,3156,918.1,
Pocosin Cabin,914.4,3152,918.2,
Pocosin Rd,914.5,3143,918.3,
Page,915.3,3136,919.1,
Page,915.8,3185,919.6,
Greene,915.9,3218,919.7,
Lake/pond/tank,916.6,3385,920.4,
Bearfence Mountain Hut,917.2,3182,921.0,-
Bearfence Mountain Hut,917.4,3228,921.2,
2012 Fence Fire,917.9,3464,921.7,
Bearfence Mountain,918.0,3536,921.8,
Skyline Drive (Bearfence Mountain),918.4,3382,922.2,
Bootens Gap,919.8,3195,923.6,
Madison,920.5,3654,924.3,
Hazeltop,920.7,3799,924.5,
Skyline Drive (Milam Gap),922.8,3254,926.7,
Milam Gap,923.1,3244,927.0,
Tanners Ridge Rd,923.9,3307,927.8,
Skyline Drive (Tanners Ridge overlook),924.3,3310,928.2,
Blackrock,925.2,3625,929.1,
Little Hawksbill Creek,926.5,3215,930.4,
Page,926.7,3152,930.6,
Redgate Rd,927.0,3047,930.9,
Fishers Gap,927.1,3054,931.0,
Rock Spring Hut,928.9,3490,932.8,
Spring,930.3,3346,934.2,
Madison,931.9,3356,935.8,
Pollock Knob,932.5,3458,936.4,
Skyline Drive (Skyland South),932.9,3533,936.8,
Skyline Drive (stables),933.3,3694,937.2,
Skyline Drive (Nature Trail Parking),933.7,3690,937.6,
Madison,934.4,3723,938.3,
Little Stony Man,934.6,3576,938.5,
Page,934.7,3566,938.6,
Skyline Drive (Little Stony Man),935.3,3231,939.2,
Rappahannock,938.4,3343,942.3,
Byrds Nest 3,940.1,3270,944.0,-
Marys Rock,941.4,3454,945.3,
Rappahannock,941.6,3330,945.5,
Pass Run,942.8,2483,946.7,
Thornton Gap,943.1,2342,947.0,
US Hwy 211,943.3,2230,947.2,
Skyline Dr,943.4,2322,947.3,
Pass Mountain Hut,944.7,2811,948.6,
Pass Mountain,945.4,3044,949.3,
Beahms Gap,946.4,2493,950.4,
Skyline Drive (Beahms Gap),946.5,2486,950.5,
Page,949.5,2604,953.5,
Rappahannock,949.6,2680,953.6,
Skyline Drive (Elkwallow Wayside),952.1,2463,956.1,
Skyline Dr,953.7,3087,957.7,
Sugarloaf,953.9,3231,957.9,
Warren,954.5,3435,958.5,
Skyline Drive (Hogback Mountain),954.6,3382,958.6,
Skyline Dr,954.7,3385,958.7,
Hogback Mountain,955.4,3428,959.4,
Skyline Drive (Little Hogback Overlook),956.3,3015,960.3,
Little Hogback Mountain,956.4,3080,960.4,-
Skyline Dr,957.0,2814,961.0,
Rappahannock,957.6,2595,961.6,
Warren,957.7,2595,961.7,
Gravel Springs Hut,958.1,2631,962.1,
Skyline Drive (Gravel Springs Gap),958.3,2664,962.3,
South Marshall,959.4,3205,963.4,
Mount Marshall,959.9,3077,963.9,
Skyline Drive (Marshall),960.0,3087,964.0,
North Marshall,960.6,3362,964.6,
Skyline Dr,962.2,2732,966.2,
2011 SMITH RUN Fire,962.4,2687,966.4,
Jenkins Gap,964.0,2368,968.0,
Compton Peak,965.2,2870,969.2,
Warren,965.7,2582,969.7,
Skyline Drive (Compton Gap),966.0,2404,970.0,
Appalachian Trl,966.1,2427,970.1,
Appalachian Trl,966.3,2480,970.3,
Carson Mountain,966.4,2480,970.4,
Appalachian Trl,967.5,2408,971.5,
State Rte 601,968.2,2135,972.2,
Tom Floyd Wayside,968.7,1948,972.7,
2011 4H Fire,969.5,1427,973.5,
Moore Run,970.2,1076,974.2,
State Rte 602,970.3,1085,974.4,
Lake Front Royal,971.5,961,975.6,
Sloan Creek,971.6,938,975.7,
Intake Rd,973.5,1548,977.6,-
Warren,974.5,1902,978.6,
CCC Rd,974.9,1801,979.0,
Jim & Molly Denton,976.9,1318,981.0,
VA 638,977.9,1062,982.0,
VA 638,978.0,1062,982.1,
Fauquier,978.7,1440,982.8,
Goose Creek,979.9,780,984.0,
VA 55 (Manassas Gap),979.9,790,984.0,
I-66,980.0,800,984.1,
Tuckers Ln,980.1,810,984.2,
Lake/pond/tank,980.4,902,984.5,
Fauquier,982.3,1673,986.4,
Spring,982.4,1666,986.5,
Upper Ted Lake Parking Area,983.3,1847,987.4,
Dick's Dome,986.9,1400,991.0,-
Clarke,988.9,1847,993.0,
Lake/pond/tank,991.9,941,996.0,
VA 601,992.0,1056,996.1,
Duke Hollow,994.6,1000,998.8,
Rod Hollow,995.3,912,999.5,
Rod Hollow,995.5,889,999.7,
Morgan Mill Stream,997.2,846,1001.4,
Piney Ridge,997.8,1348,1002.0,
Ashby Hollow,998.7,843,1002.9,
Morgans Mill Rd,999.1,1036,1003.3,
Buzzard Hill,1000.9,1190,1005.1,
Fent Wiley Hollow,1001.3,816,1005.5,
Sam Moore,1002.3,908,1006.5,
Spout Run,1003.6,731,1007.8,
Clarke,1004.0,951,1008.2,
Bears Den Hostel,1005.2,1292,1009.4,-
Bluemont  VA 20135,1005.8,1026,1010.0,
Harry Byrd Hwy,1005.9,990,1010.1,
Raven Rocks Hollow,1008.0,862,1012.2,
West Virginia,1008.4,1128,1012.6,
Raven Rocks,1008.8,1368,1013.0,
Rocky Branch,1009.1,1118,1013.3,
Loudoun,1009.9,1591,1014.1,
Virginia,1010.8,1607,1015.0,
Jefferson,1011.4,1653,1015.6,
Wilson Gap,1012.1,1440,1016.3,
Blackburn Trail Center,1013.4,1666,1017.6,
David Lesser Memorial,1016.7,1417,1020.9,
Virginia,1018.8,1171,1023.1,
Jefferson,1019.1,1082,1023.4,
Charles Town Pike,1019.7,912,1024.0,
Keys Gap,1019.8,905,1024.1,
Appalachian Trl,1019.9,912,1024.2,
Appalachian Trl,1021.3,918,1025.6,
Appalachian Trl,1022.0,1122,1026.3,
Loudoun Heights,1023.5,1154,1027.8,
Chestnut Hill Rd,1024.3,610,1028.6,
William L Wilson Fwy,1024.9,305,1029.2,
Shenandoah River,1025.1,259,1029.4,
Shoreline Dr,1025.2,288,1029.5,
Shenandoah St,1025.3,314,1029.6,
Camp Hill,1025.5,406,1029.8,
ATC Headquarters - Harpers Ferry,1025.6,436,1029.9,-
Harpers Ferry WV,1026.1,341,1030.4,
US Rte 340 Alternate Rte,1026.1,272,1030.4,
Potomac St,1026.2,265,1030.5,
Maryland,1026.3,249,1030.6,
Potomac River,1026.4,242,1030.7,
Washington,1026.5,246,1030.8,
US Hwy 340,1027.5,255,1031.8,
Lake/pond/tank,1028.1,246,1032.4,
Israel Creek,1029.0,239,1033.3,
Keep Tryst Road,1029.2,265,1033.5,
Pleasant Valley,1029.3,318,1033.6,
US Hwy 340,1029.4,314,1033.7,
Weverton Rd,1029.6,383,1033.9,
Frederick,1031.1,1220,1035.4,
Ed Garvey,1032.5,1079,1036.8,
Arnoldstown Rd,1036.1,935,1040.4,
Crampton Gap,1036.2,925,1040.5,-
Washington,1036.3,984,1040.6,
Crampton Gap,1036.7,1174,1041.0,
Lambs Knoll,1039.9,1725,1044.2,
Rocky Run,1041.4,1089,1045.7,
Reno Monument Road (Fox Gap),1042.5,1056,1046.9,
Fox Gap,1042.6,1053,1047.0,
Turners Gap,1043.6,1062,1048.0,
Frederick,1043.8,1194,1048.2,
Washington,1044.4,1473,1048.8,
Monument Rd,1045.0,1253,1049.4,
Washington Monument Road (Hiker Parking),1045.2,1328,1049.6,
Washington Monument Road (Main Parking),1045.4,1463,1049.8,
Monument Knob,1045.6,1512,1050.0,
Boonsboro Mountain Road,1047.8,1299,1052.2,
Bartman Hill,1048.0,1400,1052.4,
Boonsboro Mountain Rd,1048.4,1253,1052.8,
Dwight D Eisenhower Hwy,1048.5,1194,1052.9,
US 40 (Annapolis Rock),1048.6,1210,1053.0,
Baltimore National Pike,1048.7,1227,1053.1,
Pine  Knob,1049.1,1387,1053.5,
Pine Knob,1049.5,1666,1053.9,
Washington,1051.3,1797,1055.7,
Black Rock,1051.9,1784,1056.3,
Black Rock Creek,1052.4,1617,1056.8,
Black Rock Gap,1053.1,1683,1057.5,
MD 17 (Wolfsville Road),1057.2,1414,1061.6,
Wolfsville Rd,1057.3,1345,1061.7,
Ensign Cowall,1057.5,1387,1061.9,-
Appalachian Trl,1058.0,1522,1062.4,
Smithsburg  MD 21783,1059.2,1597,1063.6,
Appalachian Trl,1060.3,1348,1064.7,
Warner Gap Hollow,1060.8,1158,1065.2,
Little Antietam Creek,1061.5,1076,1065.9,
State Hwy 491,1061.6,1066,1066.0,
Raven Rock,1062.4,1656,1066.8,
Devil's Racecourse (old shelter),1062.7,1643,1067.1,
High Rock Road,1064.4,1784,1068.8,
Grey Rock Rd,1066.3,1437,1070.8,
Washington,1066.5,1354,1071.0,
Pennsylvania,1067.5,1213,1072.0,
Pen Mar Road,1067.6,1200,1072.1,
Stephy Ave,1067.7,1213,1072.2,
Falls Creek,1068.1,1043,1072.6,
Buena Vista Rd,1068.6,1322,1073.1,
Old Rte 16,1069.8,1272,1074.3,
Red Run,1070.0,1187,1074.5,
PA 16,1070.1,1167,1074.6,
Mentzer Gap Rd,1070.2,1220,1074.7,
Mentzer Gap Road,1070.3,1210,1074.8,
Rattlesnake Run Rd,1070.6,1354,1075.1,
Woodring Ln,1070.8,1338,1075.3,
Deer Lick,1072.1,1404,1076.6,
Deer Lick Run,1072.2,1404,1076.7,
Rattlesnake Run Road (Pipeline),1072.5,1496,1077.0,
Antietam Cove,1074.4,882,1078.9,
Appalachian Trl,1074.5,892,1079.0,
Rattlesnake Run Rd,1074.8,928,1079.3,
Rattlesnake Run Road,1074.9,928,1079.4,
Appalachian Trl,1075.3,1000,1079.8,-
Appalachian Trl,1075.5,1069,1080.0,
Snowy Mountain,1078.7,2030,1083.2,
Stoney Mtn Rd,1079.4,1696,1083.9,
South Mountain  PA 17261,1080.0,1551,1084.5,
Rocky Mountain Creek,1080.1,1548,1084.6,
State Rte 233,1080.4,1594,1084.9,
Rocky Mountain,1081.4,1781,1085.9,
Pivot Rock,1081.7,1748,1086.2,
Rocky Mountain,1082.1,1666,1086.6,
Lincoln Way E,1085.1,938,1089.6,
Conococheague Creek,1085.3,912,1089.8,
US 30 (Caledonia State Park),1085.5,915,1090.0,
Caledonia State Park,1085.6,915,1090.1,
Locust Gap Rd,1086.7,1354,1091.2,
Appalachian Trl,1087.0,1302,1091.5,
Spring,1087.6,1469,1092.1,
Franklin,1088.9,1978,1093.4,
Stillhouse Hollow Rd,1089.0,1981,1093.5,
Big Pine Flat Ridge,1090.3,2007,1094.9,
Middle Ridge Rd,1091.3,2034,1095.9,
Cumberland,1092.0,1948,1096.6,
Means Hollow Rd,1092.1,1958,1096.7,
Burd Run,1092.5,1669,1097.1,
Ridge Rd,1092.9,1906,1097.5,
Forest Rd,1094.3,1916,1098.9,
Birch Run,1094.9,1801,1099.5,-
Birch Run,1095.0,1781,1099.6,
Reese Rd,1096.1,2011,1100.7,
Shippensburg Rd,1096.3,2034,1100.9,
Dead Woman's Hollow,1097.3,1968,1101.9,
Appalachian Trl,1097.4,1991,1102.0,
Appalachian Trl,1097.8,1998,1102.4,
Forest Rd,1098.7,1870,1103.3,
Appalachian Trl,1099.2,1840,1103.8,
Woodrow Rd,1100.0,1794,1104.6,
Toms Run,1100.5,1541,1105.1,
Tom's Run,1101.1,1295,1105.7,
Michaux Rd,1102.2,1328,1106.8,
Old Shippensburg Road,1102.4,1322,1107.0,
Bunkerhill Rd,1103.0,1122,1107.6,
Old Shippenburg Rd,1103.2,1017,1107.8,
Old Orchard Rd,1104.1,1062,1108.7,
Old Orchard Rd,1104.2,1026,1108.8,
PA 233,1104.4,902,1109.0,
Centerville Rd,1104.6,882,1109.2,
Ironmasters Mansion,1104.7,875,1109.3,
Pine Grove Furnace State Park,1104.8,856,1109.4,
Pine Grove Furnace State Park,1105.1,843,1109.7,
Mountain Creek,1105.3,839,1109.9,
Pine Grove Furnace State Park (Old Railroad Bed Road 2),1105.9,826,1110.5,
